"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)"
"26.09.2017 12:24:14";"27.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"25.09.2017 12:26:20";"26.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"22.09.2017 12:21:26";"23.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"21.09.2017 12:36:45";"22.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"20.09.2017 19:19:13";"20.09.2017 00:00:00";"*9819";"OK";"-212,34";"RUB";"-212,34";"RUB";"";"Жкх/иб";"";"МосЭнергоСбыт Мед***";"0,00"
"20.09.2017 19:16:20";"20.09.2017 00:00:00";"*9819";"OK";"-484,20";"RUB";"-484,20";"RUB";"";"Жкх/иб";"";"электричество Зел***";"0,00"
"20.09.2017 19:15:24";"20.09.2017 00:00:00";"*9819";"OK";"-1526,00";"RUB";"-1526,00";"RUB";"";"Жкх/иб";"";"ЖКУ-Мос***";"0,00"
"20.09.2017 19:14:43";"20.09.2017 00:00:00";"*9819";"OK";"-4590,41";"RUB";"-4590,41";"RUB";"";"Жкх/иб";"";"ЖКУ-Зел***";"0,00"
"20.09.2017 19:13:35";"20.09.2017 00:00:00";"*9819";"OK";"-205,00";"RUB";"-205,00";"RUB";"";"Телефония/иб";"";"МГТС Мед*** +7******";"0,00"
"20.09.2017 14:15:17";"20.09.2017 00:00:00";"*9819";"OK";"30000,00";"RUB";"30000,00";"RUB";"";"Финан. услуги";"6012";"Перевод c карты другого банка";"0,00"
"20.09.2017 12:21:32";"21.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"20.09.2017 08:49:48";"20.09.2017 00:00:00";"*9819";"OK";"-60450,00";"RUB";"-60450,00";"RUB";"";"Переводы/иб";"";"ипотека сбер";"0,00"
